ticker,positive returns
OPHC,49
OPI,64
OPK,55
OPOF,68
OPRX,57
OPTT,40
OPY,66
ORA,66
ORAN,54
ORBC,63
ORCL,68
ORI,73
ORLY,77
ORMP,54
ORN,62
ORRF,67
OSBC,65
OSIS,72
OSK,67
OSN,55
OSPN,63
OSTK,58
OSUR,56
OTEX,72
OTTR,71
OVBC,69
OVLY,65
OVV,59
OXM,65
OXY,58
OZK,65
PAA,59
PAAS,52
PAC,76
PACB,58
PACW,71
PAG,70
PAR,66
PATK,75
PAYS,56
PAYX,72
PB,68
PBA,68
PBCT,68
PBH,64
PBHC,72
PBI,52
PBIP,70
PBR,56
PBT,62
PCAR,69
PCG,67
PCH,64
PCOM,55
PCRX,66
PCTI,56
PCYG,56
PCYO,58
PDCE,64
PDCO,62
PDEX,66
PDFS,68
PDM,65
PDS,55
PEAK,64
PEB,64
PEBK,74
PEBO,72
PED,42
PEG,75
PEGA,71
PEI,54
PENN,70
PEP,71
PERI,54
PESI,56
PETS,63
PFBC,72
PFBI,72
PFC,74
PFE,66
PFG,68
PFIE,55
PFIN,66
PFIS,64
PFS,66
PFSW,63
PG,73
PGC,66
PGR,73
PGTI,77
PH,73
PHG,70
PHI,59
PHM,69
PHX,53
PII,66
PIPR,69
PKBK,60
PKE,59
PKG,73
PKI,72
PKOH,65
PKX,61
PLAB,60
PLAG,48
PLBC,67
PLCE,62
PLD,73
PLG,39
PLM,48
PLOW,62
PLPC,59
PLT,66
PLUG,56
PLUS,74
PLX,42
PLXS,71
PM,66
PMBC,60
PMD,59
PMT,78
PNBK,62
PNC,76
PNFP,70
PNM,76
PNNT,65
PNR,68
PNRG,63
PNW,72
PODD,71
POOL,78
POR,72
POWI,68
POWL,65
PPBI,74
PPC,71
PPG,73
PPL,74
PRA,68
PRAA,61
PRDO,57
PRFT,67
PRG,70
PRGO,56
PRGS,61
PRI,74
PRIM,64
PRK,69
PRMW,59
PRO,70
PROV,72
PRPH,53
PRPO,38
PRTK,50
PRTS,56
PRU,73
PSA,70
PSB,68
PSEC,67
PSHG,48
PSMT,69
PSO,58
PSTI,50
PSTV,41
PTC,72
PTE,40
PTEN,60
PTMN,61
PTN,56
PTNR,50
PTR,55
PTSI,65
PTVCB,63
PUK,69
PVH,70
PW,51
PWFL,58
PWOD,65
PWR,68
PXD,67
PXLW,59
PZG,47
PZN,63
PZZA,69
QADA,63
QCOM,63
QCRH,76
QDEL,66
QGEN,61
QMCO,66
QNST,61
QRHC,55
QRTEA,59
QUAD,57
QUIK,55
QUMU,56
R,69
RAD,56
RADA,63
RAIL,50
RAND,52
RAVE,60
RAVN,62
RBA,64
RBC,68
RBCAA,69
RBCN,51
RCI,66
RCII,67
RCKY,66
RCL,69
RCMT,62
RCON,52
RDCM,53
RDI,57
RDN,69
RDNT,58
RDS-A,61
RDWR,67
RDY,61
RE,74
REED,59
REFR,49
REG,64
REGN,66
REI,59
RELL,48
RELX,74
REPX,57
RES,54
REV,56
REX,69
RF,76
RFIL,59
RFP,60
RGA,72
RGCO,75
RGEN,69
RGLD,60
RGP,61
RGR,65
RGS,60
RHI,69
RHP,73
RIBT,47
RICK,59
RIG,50
RIGL,57
RIO,61
RIOT,53
RIVE,61
RJF,73
RL,64
RLGT,54
RLI,78
RMBS,67
RMCF,58
RMD,79
RMTI,53
RNET,61
RNR,74
RNST,70
RNWK,51
ROCK,68
ROG,67
ROIC,68
ROK,68
ROL,75
ROLL,69
ROP,64
ROST,70
RP,63
RPM,69
RPT,63
