symbol,name,sector,industry
MNRO,Monro Inc,CYCLICALS,AUTORETAIL
MOV,Movado Group Inc,CYCLICALS,APPARELPRODUCTS
MPAA,Motorcar Parts of America Inc,CYCLICALS,VEHICLE
MPX,Marine Products Corp,CYCLICALS,LEISURE
MTH,Meritage Homes Corp,CYCLICALS,HOMEBUILDMANUF
NAKD,Naked Brand Group Ltd,CYCLICALS,APPARELRETAIL
NKE,Nike Inc,CYCLICALS,APPARELPRODUCTS
NLS,Nautilus Inc,CYCLICALS,LEISURE
NNBR,NN Inc,CYCLICALS,VEHICLE
NTZ,Natuzzi SPA,CYCLICALS,APPLIANCESFURN
NVR,NVR Inc.,CYCLICALS,HOMEBUILDMANUF
ODC,Oil-Dri Corp of America,CYCLICALS,LEISURE
ODP,The ODP Corporation,CYCLICALS,RETAILOTHER
OLB,OLB Group Inc (The),CYCLICALS,RETAILOTHER
ORLY,O'Reilly Automotive Inc,CYCLICALS,AUTORETAIL
OXM,Oxford Industries Inc.,CYCLICALS,APPARELPRODUCTS
PAG,Penske Automotive Group Inc,CYCLICALS,AUTORETAIL
PATK,Patrick Industries Inc,CYCLICALS,VEHICLE
PCYG,Park City Group Inc,CYCLICALS,RETAILOTHER
PETS,PetMed Express Inc,CYCLICALS,RETAILOTHER
PHM,PulteGroup Inc,CYCLICALS,HOMEBUILDMANUF
PII,Polaris Inc,CYCLICALS,LEISURE
PLCE,Childrens Place Inc (The),CYCLICALS,APPARELRETAIL
PNR,Pentair plc,CYCLICALS,LEISURE
PRG,PROG Holdings Inc,CYCLICALS,ELECTRONICSENTRETAIL
PRTS,CarParts.com Inc,CYCLICALS,AUTORETAIL
PVH,PVH Corp,CYCLICALS,APPARELPRODUCTS
RCII,Rent-A-Center Inc,CYCLICALS,ELECTRONICSENTRETAIL
RCKY,Rocky Brands Inc,CYCLICALS,APPARELPRODUCTS
RL,Ralph Lauren Corp,CYCLICALS,APPARELPRODUCTS
RUSHA,Rush Enterprises Inc,CYCLICALS,AUTORETAIL
SAH,Sonic Automotive Inc.,CYCLICALS,AUTORETAIL
SCVL,Shoe Carnival Inc,CYCLICALS,APPARELRETAIL
SGC,Superior Group of Cos Inc,CYCLICALS,APPARELPRODUCTS
SHOO,Steven Madden Ltd,CYCLICALS,APPARELPRODUCTS
SIG,Signet Jewelers Ltd,CYCLICALS,APPARELRETAIL
SKX,Skechers U.S.A. Inc,CYCLICALS,APPARELPRODUCTS
SKY,Skyline Champion Corp,CYCLICALS,HOMEBUILDMANUF
SMP,Standard Motor Products Inc.,CYCLICALS,VEHICLE
SQBG,Sequential Brands Group Inc,CYCLICALS,APPARELPRODUCTS
SRI,Stoneridge Inc.,CYCLICALS,VEHICLE
ST,Sensata Technologies Holding Plc,CYCLICALS,VEHICLE
STLA,Stellantis NV,CYCLICALS,VEHICLE
STMP,Stamps.com Inc,CYCLICALS,RETAILOTHER
STRT,Strattec Security Corp,CYCLICALS,VEHICLE
SUP,Superior Industries International Inc.,CYCLICALS,VEHICLE
TA,TravelCenters Of America Inc,CYCLICALS,RETAILOTHER
TEN,Tenneco Inc,CYCLICALS,VEHICLE
THO,Thor Industries Inc.,CYCLICALS,VEHICLE
THRM,Gentherm Inc,CYCLICALS,VEHICLE
TM,Toyota Motor Corp,CYCLICALS,VEHICLE
TOL,Toll Brothers Inc.,CYCLICALS,HOMEBUILDMANUF
TPR,Tapestry Inc,CYCLICALS,APPARELPRODUCTS
TSCO,Tractor Supply Co,CYCLICALS,HOMEIMPROVE
TSLA,Tesla Inc,CYCLICALS,VEHICLE
TTM,Tata Motors Ltd,CYCLICALS,VEHICLE
UAA,Under Armour Inc,CYCLICALS,APPARELPRODUCTS
